DAYS_PK,YEAR,MONTH,NUM_WD,NUM_WE,REMARKS,SYS_CREATE_TIME,SYS_MODIFY_TIME,LOAD_TABLE,LOAD_DATETIME,LOAD_USER
11365,1980,1,22,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11366,1980,2,20,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11367,1980,3,19,12,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11368,1980,4,22,8,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11369,1980,5,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11370,1980,6,21,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11371,1980,7,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11372,1980,8,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11373,1980,9,21,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11374,1980,10,22,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11375,1980,11,16,14,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11376,1980,12,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11377,1981,1,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11378,1981,2,19,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11379,1981,3,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11380,1981,4,21,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11381,1981,5,20,11,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11382,1981,6,22,8,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11383,1981,7,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11384,1981,8,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11385,1981,9,21,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11386,1981,10,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11387,1981,11,18,12,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11388,1981,12,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11389,1982,1,20,11,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11390,1982,2,19,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11391,1982,3,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11392,1982,4,22,8,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11393,1982,5,20,11,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11394,1982,6,22,8,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11395,1982,7,20,11,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11396,1982,8,22,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11397,1982,9,21,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11398,1982,10,20,11,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11399,1982,11,18,12,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11400,1982,12,20,11,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11401,1983,1,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11402,1983,2,19,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11403,1983,3,22,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11404,1983,4,20,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11405,1983,5,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11406,1983,6,22,8,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11407,1983,7,19,12,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11408,1983,8,23,8,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11409,1983,9,21,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11410,1983,10,20,11,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11411,1983,11,19,11,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11412,1983,12,20,11,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11413,1984,1,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11414,1984,2,20,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11415,1984,3,20,11,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11416,1984,4,21,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11417,1984,5,22,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11418,1984,6,21,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11419,1984,7,20,11,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11420,1984,8,23,8,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11421,1984,9,19,11,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11422,1984,10,22,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11423,1984,11,19,11,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11424,1984,12,20,11,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11425,1985,1,22,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11426,1985,2,19,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11427,1985,3,19,12,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11428,1985,4,22,8,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11429,1985,5,22,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11430,1985,6,20,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11431,1985,7,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11432,1985,8,22,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11433,1985,9,20,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11434,1985,10,22,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11435,1985,11,18,12,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11436,1985,12,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11437,1986,1,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11438,1986,2,19,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11439,1986,3,19,12,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11440,1986,4,22,8,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11441,1986,5,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11442,1986,6,21,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11443,1986,7,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11444,1986,8,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11445,1986,9,21,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11446,1986,10,22,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11447,1986,11,16,14,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11448,1986,12,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11449,1987,1,20,11,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11450,1987,2,19,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11451,1987,3,20,11,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11452,1987,4,22,8,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11453,1987,5,20,11,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11454,1987,6,22,8,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11455,1987,7,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11456,1987,8,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11457,1987,9,21,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11458,1987,10,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11459,1987,11,18,12,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11460,1987,12,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11461,1988,1,19,12,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11462,1988,2,20,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11463,1988,3,22,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11464,1988,4,20,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11465,1988,5,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11466,1988,6,22,8,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11467,1988,7,19,12,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11468,1988,8,23,8,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11469,1988,9,21,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11470,1988,10,20,11,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11471,1988,11,18,12,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11472,1988,12,20,11,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11473,1989,1,20,11,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11474,1989,2,19,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11475,1989,3,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11476,1989,4,20,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11477,1989,5,22,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11478,1989,6,22,8,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11479,1989,7,19,12,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11480,1989,8,23,8,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11481,1989,9,20,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11482,1989,10,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11483,1989,11,20,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11484,1989,12,19,12,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11485,1990,1,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11486,1990,2,19,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11487,1990,3,20,11,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11488,1990,4,21,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11489,1990,5,22,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11490,1990,6,21,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11491,1990,7,20,11,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11492,1990,8,23,8,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11493,1990,9,19,11,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11494,1990,10,22,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11495,1990,11,19,11,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11496,1990,12,20,11,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11497,1991,1,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11498,1991,2,19,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11499,1991,3,19,12,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11500,1991,4,22,8,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11501,1991,5,22,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11502,1991,6,20,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11503,1991,7,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11504,1991,8,22,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11505,1991,9,20,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11506,1991,10,22,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11507,1991,11,18,12,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11508,1991,12,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11509,1992,1,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11510,1992,2,19,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11511,1992,3,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11512,1992,4,21,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11513,1992,5,20,11,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11514,1992,6,22,8,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11515,1992,7,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11516,1992,8,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11517,1992,9,21,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11518,1992,10,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11519,1992,11,17,13,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11520,1992,12,21,10,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11521,1993,1,19,12,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11522,1993,2,19,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11523,1993,3,22,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11524,1993,4,21,9,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11525,1993,5,20,11,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11526,1993,6,22,8,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
11527,1993,7,20,11,NULL,NULL,"2004-09-14 00:00:00",g_days,"2021-03-17 08:22:02",data_loader
